,new_epitope_a,new_epitope_b,new_epitope_c,new_epitope_d,new_epitope_e,label
0,0,0,2,1,0,0.319
1,0,2,0,1,0,0.5
2,4,1,11,14,35,0.746
3,0,1,1,0,0,0.826
4,1,1,1,0,0,0.904
5,1,2,1,2,2,1.109
6,0,3,1,2,1,2.132
7,3,1,11,16,35,0.975
8,2,5,0,2,0,2.864
9,0,2,0,0,0,1.129
10,0,3,0,0,0,1.233
11,3,3,1,0,0,1.922
12,1,2,0,0,0,2.165
13,3,3,1,0,0,3.233
14,3,4,1,1,3,3.801
15,0,0,0,0,1,-0.594
16,0,1,0,0,1,0.394
17,1,3,0,0,1,0.665
18,3,3,1,1,1,0.816
19,3,3,1,0,1,1.194
20,1,2,2,1,1,1.219
21,3,3,1,0,1,2.063
22,3,5,1,1,4,2.301
23,0,2,0,1,0,0.324
24,3,6,0,3,5,1.425
25,3,5,1,0,1,1.74
26,1,2,0,0,1,1.775
27,3,2,0,2,3,2.199
28,3,4,0,4,5,2.249
29,2,5,0,2,3,2.339
30,3,5,0,2,5,2.401
31,2,5,0,2,3,2.425
32,3,5,0,1,5,2.925
33,3,4,0,2,3,3.414
34,3,5,0,4,5,1.779
35,3,7,1,1,1,2.041
36,3,5,1,3,5,2.279
37,2,4,0,3,3,2.311
38,3,4,0,3,3,2.486
39,4,5,1,3,7,2.753
40,3,6,0,3,5,2.877
41,3,6,0,2,5,3.071
42,3,7,1,4,5,3.779
43,2,1,3,0,0,0.141
44,3,4,1,1,0,0.503
45,0,3,1,1,0,0.538
46,2,1,1,0,0,0.781
47,1,0,3,0,0,1.021
48,3,2,1,0,0,1.079
49,3,2,1,1,0,1.19
50,3,2,1,1,0,1.236
51,2,1,3,0,0,1.272
52,2,1,1,0,0,1.543
53,3,2,1,1,0,1.903
54,3,1,2,0,0,1.947
55,1,1,3,4,1,2.093
56,2,2,2,2,0,2.24
57,3,2,1,1,0,2.322
58,3,2,1,1,0,2.358
59,2,3,2,1,0,2.707
60,0,1,0,1,0,-0.029
61,0,2,1,1,0,0.336
62,1,0,1,0,2,0.445
63,0,2,2,1,0,1.179
64,0,6,0,0,0,1.379
65,0,6,0,1,0,1.764
66,4,6,0,0,2,2.14
67,3,5,0,3,5,2.224
68,3,6,0,2,5,2.631
69,2,7,1,2,4,2.789
70,0,2,0,2,0,0.606
71,0,1,0,0,0,0.656
72,0,0,2,1,0,0.813
73,0,1,1,1,0,1.016
74,0,1,1,1,0,1.062
75,0,1,2,1,0,1.106
76,1,0,3,1,0,1.289
77,0,0,4,1,0,1.445
