strainName1,strainName2,distance
1,0,0.9571
7,0,3.3152
9,0,1.1803
10,0,0.7347
11,0,0.8528
28,0,0.4029
30,0,4.2117
33,0,0.6784
38,0,0.5893
0,1,0.9571
11,1,4.5202
28,1,1.4854
33,1,-0.1655
38,1,0.1487
33,2,-0.3974
38,2,-0.0029
39,2,1.5688
4,3,0.3722
7,3,1.1699
8,3,1.4878
9,3,0.9703
11,3,-0.1911
12,3,0.2918
13,3,0.5386
16,3,1.8701
17,3,1.2925
18,3,1.3287
19,3,1.3448
20,3,2.545
28,3,2.6974
29,3,1.1794
30,3,1.1952
35,3,2.2178
3,4,0.3722
7,4,2.5112
8,4,2.1057
9,4,0.5289
11,4,0.4499
12,4,0.7006
13,4,0.3349
16,4,2.3599
17,4,2.5203
18,4,2.0136
19,4,2.1053
20,4,2.5641
28,4,1.7266
29,4,1.7811
30,4,1.9542
6,5,2.25
11,5,1.2959
21,5,1.3899
36,5,0.4789
5,6,2.25
11,6,4.3342
36,6,3.7463
0,7,3.3152
3,7,1.1699
4,7,2.5112
8,7,0.0631
9,7,1.9617
10,7,4.0453
11,7,0.3504
12,7,1.7955
13,7,2.442
28,7,3.3797
29,7,-0.0584
30,7,0.3473
31,7,0.6416
3,8,1.4878
4,8,2.1057
7,8,0.0631
9,8,1.3057
11,8,0.7344
12,8,2.0996
13,8,2.4081
17,8,0.6788
18,8,0.2924
19,8,0.7829
28,8,4.0752
29,8,0.2734
30,8,0.2992
0,9,1.1803
3,9,0.9703
4,9,0.5289
7,9,1.9617
8,9,1.3057
10,9,0.2399
11,9,0.094
13,9,0.21
28,9,1.7758
29,9,2.4501
30,9,1.6912
33,9,2.8904
34,9,1.4954
38,9,1.8531
0,10,0.7347
7,10,4.0453
9,10,0.2399
11,10,0.8689
28,10,1.509
33,10,1.1564
38,10,1.7484
0,11,0.8528
1,11,4.5202
3,11,-0.1911
4,11,0.4499
5,11,1.2959
6,11,4.3342
7,11,0.3504
8,11,0.7344
9,11,0.094
10,11,0.8689
12,11,-0.0326
13,11,0.2601
14,11,4.0102
15,11,1.949
16,11,1.5441
17,11,0.8592
18,11,0.5529
19,11,0.5445
20,11,2.6743
21,11,0.9442
23,11,2.2338
28,11,1.1406
29,11,0.138
30,11,0.3955
31,11,3.5699
32,11,2.5905
33,11,2.9618
34,11,0.8592
35,11,2.6732
36,11,1.2555
38,11,2.079
3,12,0.2918
4,12,0.7006
7,12,1.7955
8,12,2.0996
11,12,-0.0326
13,12,0.6019
16,12,1.5708
17,12,1.6874
18,12,2.3198
19,12,2.4939
20,12,3.8126
21,12,1.4101
28,12,2.3495
29,12,1.697
30,12,1.4595
32,12,3.3982
35,12,3.5623
36,12,2.5942
3,13,0.5386
4,13,0.3349
7,13,2.442
8,13,2.4081
9,13,0.21
11,13,0.2601
12,13,0.6019
16,13,2.1722
17,13,1.7888
18,13,2.5223
19,13,2.3725
20,13,3.3198
28,13,2.3578
29,13,1.5645
30,13,2.0861
32,13,3.1573
35,13,3.4702
36,13,2.3534
11,14,4.0102
15,14,0.312
21,14,2.9161
22,14,2.424
23,14,2.6962
24,14,2.5107
25,14,3.0466
26,14,1.924
27,14,1.9674
36,14,4.0448
11,15,1.949
14,15,0.312
21,15,1.5172
22,15,1.6315
23,15,2.3749
24,15,2.3159
26,15,1.6315
27,15,1.1613
36,15,1.5458
3,16,1.8701
4,16,2.3599
11,16,1.5441
12,16,1.5708
13,16,2.1722
19,16,3.619
28,16,1.3263
35,16,-1.0977
3,17,1.2925
4,17,2.5203
8,17,0.6788
11,17,0.8592
12,17,1.6874
13,17,1.7888
18,17,-0.3863
19,17,0.1042
29,17,1.0081
30,17,1.3658
3,18,1.3287
4,18,2.0136
8,18,0.2924
11,18,0.5529
12,18,2.3198
13,18,2.5223
17,18,-0.3863
19,18,0.1037
29,18,0.7028
30,18,1.1109
35,18,2.558
36,18,3.4033
3,19,1.3448
4,19,2.1053
8,19,0.7829
11,19,0.5445
12,19,2.4939
13,19,2.3725
16,19,3.619
17,19,0.1042
18,19,0.1037
28,19,3.7081
29,19,0.7065
30,19,1.9699
35,19,2.269
36,19,3.2018
3,20,2.545
4,20,2.5641
11,20,2.6743
12,20,3.8126
13,20,3.3198
28,20,1.5333
35,20,1.6054
36,20,3.4466
5,21,1.3899
11,21,0.9442
12,21,1.4101
14,21,2.9161
15,21,1.5172
24,21,4.4725
32,21,0.5296
36,21,0.4894
14,22,2.424
15,22,1.6315
23,22,0.6549
24,22,-0.1081
11,23,2.2338
