id,HA
0,B/VICTORIA/304/2006
1,B/HONGKONG/45/2005
2,B/HONGKONG/335/2001
3,B/FORMOSA/V2367/2012
4,B/JOHANNESBURG/3964/2012
5,B/NETHERLANDS/10894/2022
6,B/NETHERLANDS/11267/2022
7,B/PARIS/1762/2008
8,B/PARIS/1762/2009
9,B/ENGLAND/393/2008
10,B/BRISBANE/33/2008
11,B/BRISBANE/60/2008
12,B/SOUTHAUSTRALIA/81/2012
13,B/MALTA/636714/2011
14,B/COTED'IVOIRE/948/2020
15,B/CROATIA/7789/2019
16,B/MARYLAND/15/2016
17,B/ICELAND/56/2015
18,B/NORDRHEIN-WESTFALEN/1/2016
19,B/IRELAND/3154/2016
20,B/HONGKONG/269/2017
21,B/WASHINGTON/02/2019
22,B/MICHIGAN/01/2021
23,B/PARIS/9878/2020
24,B/AUSTRIA/1359417/2021
25,B/STOCKHOLM/3/2022
26,B/HENAN-XIGONG/1118/2021
27,B/GANSU-BAIYIN/1281/2021
28,B/MALAYSIA/2506/2004
29,B/HONGKONG/514/2009
30,B/ODESSA/3886/2010
31,B/MADAGASCAR/7002/2009
32,B/COTED'IVOIRE/1662/2018
33,B/BRISBANE/32/2002
34,B/CAMBODIA/30/2011
35,B/NORWAY/2409/2017
36,B/COLORADO/06/2017
37,B/ILLINOIS/13/2005
38,B/SHANDONG/7/1997
39,B/TEHRAN/80/2002
