id,HA
0,B/EGYPT/144/2005
1,B/ENGLAND/145/2008
2,B/BARCELONA/143/2008
3,B/BRISBANE/3/2007
4,B/SHANGHAI/361/2002
5,B/JIANGSU/10/2003
6,B/STOCKHOLM/12/2011
7,B/MASSACHUSETTS/02/2012
8,B/ESTONIA/55669/2011
9,B/HONGKONG/3577/2012
10,B/NORWAY/2134/2019
11,B/NIEDERSACHSEN/1/2010
12,B/FLORIDA/4/2006
13,B/SENDAI-H/114/2007
14,B/NOVOSIBIRSK/1/2012
15,B/PHUKET/3073/2013
16,B/UTAH/09/2014
17,B/CALIFORNIA/12/2015
18,B/HONGKONG/3417/2014
19,B/HAMBURG/1/2016
20,B/MAURITIUS/1791/2017
21,B/GUYANE/005/2018
22,B/MAURITIUS/I-762/2018
23,B/ALGERIA/G-486/2010
24,B/SERBIA/1894/2011
25,B/VALLADOLID/18/2008
26,B/WISCONSIN/1/2010
27,B/BANGLADESH/3333/2007
28,B/FLORIDA/7/2004
29,B/SICHUAN/379/1999
30,B/FLORIDA/7/2005
