strainName1,strainName2,distance
1,0,1.4961
2,0,2.893
3,0,0.026
4,0,0.2711
5,0,2.5203
6,0,-0.3376
8,0,2.0437
11,0,2.6471
12,0,-0.0215
13,0,0.7099
14,0,1.9629
23,0,3.4396
24,0,2.0803
25,0,3.2079
26,0,0.9897
27,0,0.6111
28,0,-0.1919
29,0,0.417
30,0,0.1471
0,1,1.4961
2,1,2.0191
3,1,2.1727
6,1,0.3726
12,1,1.1283
13,1,1.9341
23,1,2.6506
24,1,1.9066
25,1,1.7659
26,1,2.3749
27,1,2.3416
0,2,2.893
1,2,2.0191
3,2,2.978
12,2,2.4044
13,2,2.576
25,2,0.7297
27,2,1.844
0,3,0.026
1,3,2.1727
2,3,2.978
5,3,3.1015
6,3,0.9193
7,3,0.1263
8,3,2.1582
9,3,1.7901
11,3,2.1005
12,3,0.0175
13,3,0.6855
14,3,2.5757
15,3,1.3753
16,3,0.1855
17,3,2.2038
18,3,1.7149
19,3,4.6855
20,3,2.3697
23,3,3.6389
24,3,3.3608
25,3,3.88
26,3,0.9004
27,3,1.1908
28,3,0.2615
29,3,1.0314
0,4,0.2711
5,4,2.3507
12,4,2.7742
28,4,0.4075
29,4,0.0531
30,4,0.7465
0,5,2.5203
3,5,3.1015
4,5,2.3507
12,5,3.5165
13,5,3.3957
25,5,3.9645
28,5,2.6882
29,5,2.6591
30,5,2.0272
0,6,-0.3376
1,6,0.3726
3,6,0.9193
7,6,1.088
8,6,2.8117
9,6,1.5907
10,6,5.1185
12,6,0.0438
14,6,0.8309
15,6,0.9004
16,6,-0.2317
17,6,1.5256
18,6,1.3589
19,6,3.7683
20,6,2.1199
21,6,1.5195
22,6,1.9763
24,6,0.5586
26,6,0.4517
27,6,-0.4497
3,7,0.1263
6,7,1.088
8,7,1.0543
9,7,0.4169
12,7,0.0238
14,7,1.3648
15,7,1.081
16,7,0.1717
17,7,1.2439
18,7,1.1754
19,7,2.538
20,7,1.8991
21,7,1.9817
22,7,1.7114
26,7,0.9432
0,8,2.0437
3,8,2.1582
6,8,2.8117
7,8,1.0543
9,8,-0.3714
12,8,1.531
14,8,1.4472
15,8,1.5952
16,8,0.8338
17,8,2.7651
18,8,2.2623
19,8,3.4654
20,8,1.5902
21,8,2.2926
22,8,2.6369
24,8,1.6754
26,8,2.6619
27,8,4.1019
3,9,1.7901
6,9,1.5907
7,9,0.4169
8,9,-0.3714
12,9,0.7979
14,9,1.2667
15,9,2.847
24,9,1.2708
26,9,2.3559
6,10,5.1185
15,10,3.8555
0,11,2.6471
3,11,2.1005
12,11,1.7466
26,11,1.5136
27,11,1.9755
0,12,-0.0215
1,12,1.1283
2,12,2.4044
3,12,0.0175
4,12,2.7742
5,12,3.5165
6,12,0.0438
7,12,0.0238
8,12,1.531
9,12,0.7979
11,12,1.7466
13,12,1.56
14,12,1.6146
15,12,1.4238
16,12,0.3578
17,12,2.8112
18,12,1.8573
19,12,4.4428
23,12,1.3303
24,12,1.6859
25,12,2.955
26,12,0.6554
27,12,0.0745
28,12,1.2263
29,12,1.9962
0,13,0.7099
1,13,1.9341
2,13,2.576
3,13,0.6855
5,13,3.3957
12,13,1.56
25,13,3.3057
28,13,0.237
29,13,0.9219
0,14,1.9629
3,14,2.5757
6,14,0.8309
7,14,1.3648
8,14,1.4472
9,14,1.2667
12,14,1.6146
15,14,1.853
24,14,0.7578
26,14,1.115
3,15,1.3753
6,15,0.9004
7,15,1.081
8,15,1.5952
9,15,2.847
10,15,3.8555
