strainName1,strainName2,distance
33,32,-0.101
28,32,-0.079
30,32,-0.065
59,25,-1.22
59,18,-0.576
59,19,-1.044
59,17,-1.066
59,26,-1
70,32,-0.462
55,58,-0.74
16,25,0.669
16,15,0.729
16,20,0.611
27,25,-0.088
27,19,-0.913
27,15,0.325
27,17,-0.566
27,20,0.111
50,38,-0.716
22,25,0.419
22,32,0.138
25,26,-0.22
25,59,-1.22
62,15,0.437
62,22,-0.023
62,29,-0.5
26,25,-0.22
26,18,-0.076
26,19,-0.544
26,17,-0.066
26,59,-1
22,58,-0.23
17,20,0.027
56,19,-0.088
56,15,1.144
56,55,-0.401
56,30,0.274
21,15,0.644
21,17,0.141
22,15,1.084
25,20,0.248
19,20,-0.373
21,20,0.428
15,20,0.41
24,25,1.408
17,25,-0.013
25,15,0.753
22,55,-0.118
24,20,0.644
22,62,-0.023
22,29,0.477
20,15,0.41
20,21,0.428
22,30,-0.023
24,21,1.173
17,15,0.593
25,18,0.104
20,25,0.248
13,25,0.174
19,25,-0.376
22,70,-0.028
33,15,1.201
25,17,-0.013
13,18,0.749
13,26,0.325
25,19,-0.376
44,38,0.602
24,62,0.805
24,32,2.305
54,45,-0.119
31,32,-0.084
28,25,0.409
28,62,-0.079
28,20,0.947
30,25,0.215
30,20,0.254
19,62,-0.044
19,21,0.456
19,26,-0.544
19,29,-0.044
19,32,1.456
44,40,-0.531
44,43,-0.031
44,14,-0.531
44,45,0.469
44,45,0.469
40,36,-0.06
40,54,-0.411
40,53,-0.148
35,70,0.038
35,38,-0.216
14,36,-0.56
14,39,-0.462
14,55,0.052
29,15,0.437
29,62,-0.5
70,25,0.026
70,62,0.038
70,20,0.564
70,29,0.038
39,45,0.038
57,58,-0.259
57,60,-0.259
68,69,0.246
68,68,0.246
55,15,0.793
55,52,0.552
55,50,0.26
38,57,-0.343
38,50,-0.716
56,70,0.17
56,57,0.241
56,31,0.047
65,69,0.292
65,68,0.792
53,43,0.352
53,50,-0.148
53,30,0.693
53,45,0.352
18,25,0.104
18,26,-0.076
17,18,0.141
17,27,-0.566
17,21,0.141
17,26,-0.066
17,59,-1.066
16,19,0.587
16,17,0.823
