id,HA
0,A/SANTIAGO/7981/2006
1,A/ENGLAND/394/2008
2,A/SOUTHAFRICA/R2825/2015
3,A/SAITAMA/103/2014
4,A/ENGLAND/538/2018
5,A/KANSAS/14/2017
6,A/VICTORIA/361/2011
7,A/BANGLADESH/4005/2020
8,A/BANGLADESH/911009/2020
9,A/STOCKHOLM/5/2021
10,A/DARWIN/9/2021
11,A/POLAND/99/2022
12,A/WYOMING/01/2021
13,A/SLOVENIA/9318/2022
14,A/SLOVENIA/8720/2022
15,A/SLOVENIA/9216/2022
16,A/CATALONIA/NSVH161512067/2022
17,A/ENGLAND/214191723/2021
18,A/NORWAY/24873/2021
19,A/NORWAY/29511/2021
20,A/THURINGEN/10/2022
21,A/NORWAY/28542/2022
22,A/FLORIDA/02/2021
23,A/POLAND/97/2022
24,A/HIROSHIMA/52/2005
25,A/HONGKONG/45/2019
26,A/TASMANIA/11/2014
27,A/HONGKONG/26560/2009
28,A/GREECE/4/2017
29,NYMCX-303(HYA/GREECE/4/2017)
30,NIB104(A/SINGAPORE/INFIMH-16-0019/2016)
31,A/SINGAPORE/INFIMH-16-0019/2016
32,A/NORWAY/4849/2016
33,A/OMAN/5466/2016
34,NIB-103(A/NORWAY/3806/2016)
35,NYMCX-295(A/NORWAY/3806/2016)
36,A/NORWAY/3806/2016
37,A/NORWAY/4465/2016
38,A/NANTES/1441/2017
39,A/HONGKONG/656/2018
40,NIB-93(A/HONGKONG/7127/2014)
41,NYMCX-261(A/HONGKONG/7127/2014)
42,A/SOUTHAFRICA/R2665/2015
43,A/SLOVENIA/129/2016
44,A/GEORGIA/532/2015
45,A/ENGLAND/530/2014
46,A/HONGKONG/50/2016
47,NYMCX-297(A/HONGKONG/50/2016)
48,A/HONGKONG/4801/2014
49,A/HONGKONG/7127/2014
50,NYMCX-263B(A/HONGKONG/4801/2014)
51,A/SYDNEY/71/2014
52,A/HONGKONG/5738/2014
53,A/SWITZERLAND/8060/2017
54,A/MICHIGAN/173/2020
55,A/TASMANIA/503/2020
56,A/CAMBODIA/E0826360/2020
57,A/NORWAY/2279/2019
58,A/FINLAND/183/2020
59,A/NETHERLANDS/10260/2018
60,A/HONGKONG/674/2018
61,A/NORWAY/2620/2018
62,A/DENMARK/3264/2019
63,A/PARIS/2554/2019
