strainName1,strainName2,distance
0,105,0.319
0,80,0.5
0,145,0.746
0,153,0.826
0,102,0.904
0,162,1.109
0,151,2.132
1,145,0.975
1,143,2.864
2,48,1.129
2,52,1.233
2,122,1.922
2,44,2.165
2,121,3.233
2,130,3.801
3,48,-0.594
3,52,0.394
3,44,0.665
3,115,0.816
3,122,1.194
3,128,1.219
3,121,2.063
3,130,2.301
4,5,0.324
4,8,1.425
4,52,1.74
4,122,1.775
4,138,2.199
4,55,2.249
4,62,2.339
4,58,2.401
4,63,2.425
4,72,2.925
4,67,3.414
5,8,1.779
5,52,2.041
5,19,2.279
5,62,2.311
5,138,2.486
5,20,2.753
5,9,2.877
5,72,3.071
5,22,3.779
6,81,0.141
6,26,0.503
6,123,0.538
6,113,0.781
6,141,1.021
6,110,1.079
6,119,1.19
6,122,1.236
6,82,1.272
6,112,1.543
6,121,1.903
6,85,1.947
6,93,2.093
6,51,2.24
6,120,2.322
6,133,2.358
6,52,2.707
7,8,-0.029
7,18,0.336
7,20,0.445
7,15,1.179
7,58,1.379
7,72,1.764
7,138,2.14
7,5,2.224
7,4,2.631
7,52,2.789
9,54,0.606
9,7,0.656
9,13,0.813
9,17,1.016
9,18,1.062
9,15,1.106
9,16,1.289
9,21,1.445
9,62,1.823
9,4,2.823
9,31,4.055
10,9,0.401
10,13,0.493
10,7,0.777
10,15,0.786
10,11,0.786
10,14,0.814
10,17,0.861
10,142,0.993
10,18,1.222
10,22,1.286
10,23,1.3
10,20,1.671
10,62,1.79
10,56,2.052
10,140,2.695
10,54,2.786
10,5,3.1
10,138,3.105
11,16,-0.389
11,14,-0.28
11,23,-0.265
11,9,0.313
11,18,0.977
11,20,2.474
12,10,1.078
12,9,1.606
12,7,2.971
12,17,3.102
12,56,3.946
13,9,0.813
13,17,1.309
13,7,1.679
13,5,2.779
14,13,-0.28
14,16,-0.107
14,17,0.215
14,15,0.22
14,9,0.476
14,7,0.672
14,18,0.984
14,142,1.22
14,20,1.782
14,62,2.834
14,5,3.257
14,140,3.972
16,21,1.111
16,68,1.611
16,20,2.377
17,18,-0.422
17,20,0.868
17,7,1.012
17,15,1.102
17,19,1.602
17,62,3.32
17,5,3.451
18,142,0.269
18,16,1.608
18,20,1.628
19,7,-0.029
19,10,0.786
19,14,1.22
19,18,1.477
19,5,2.279
19,138,3.197
20,9,1.27
21,23,0.235
21,11,1
21,14,1.352
21,9,1.445
21,18,1.608
21,10,1.993
21,20,2.974
21,56,4.654
22,9,1.106
22,17,1.602
22,7,1.971
22,12,2.292
22,62,3.051
22,5,3.779
23,14,0.518
23,16,0.574
23,9,0.725
23,142,0.735
23,17,1.044
23,7,1.706
23,20,2.593
23,5,3.514
23,140,3.674
24,101,-0.019
24,154,0.522
24,102,0.925
24,102,0.931
24,147,1.022
24,158,1.314
24,153,1.333
24,150,1.364
24,151,1.938
24,162,2.034
24,156,2.258
24,109,2.682
24,0,2.814
27,93,0.158
