id,HA
0,A/MuscovyDuck/Vietnam/Ncvd-038/2008
1,A/Hubei/1/2010
2,A/Egret/Egypt/1162-NAMRU3/2006
3,A/Turkey/65-596/2006
4,A/Chicken/Vietnam/Ncvd-283/2009
5,A/Chicken/Wajo/Bbvm/2005
6,A/Chicken/Vietnam/Ncvd-035/2008
7,A/Goose/Shantou/18442/2005
8,A/ChinesePondHeron/HongKong/18/2005
9,A/Chicken/Nigeria/So452/2006
10,A/Cambodia/R0405050/2007
11,A/Pheasant/Shantou/2239/2006
12,A/Goose/Shantou/239/2006
13,A/Duck/Hunan/795/2002
14,A/Egypt/3401-NAMRU3/2008
15,A/Egypt/2039-NAMRU3/2009
16,A/MuscovyDuck/Vietnam/Ncvd-079/2008
17,A/Chicken/Vietnam/Ncvd-138/2008
18,A/Chicken/Vietnam/Ncvd-086/2008
19,A/Vietnam/Jp14/2005
20,A/Egypt/1394-NAMRU3/2007
21,A/Chicken/Egypt/9402Namru3/2007
22,A/Indonesia/5/2005
23,A/Chicken/Vietnam/Ncvd-03/2008
24,A/Egypt/4394-NAMRU3/2009
25,A/Indonesia/6/2005
26,A/Chicken/Vietnam/Ncvd-05/2008
27,A/CommonMagpie/HongKong/5052/2007
28,A/Egypt/N01360/2010
29,A/Egypt/2786-NAMRU3/2006
30,A/MusckovyDuck/Vietnam/33/2007
31,A/Egypt/0216-NAMRU3/2007
32,A/Duck/Vietnam/Ncvd-98/2007
33,A/Goose/Yunnan/5539/2005
34,A/Chicken/Vietnam/Ncvd-039/2008
35,A/Thailand/676/2005
36,A/Chicken/Vietnam/Ncvd-080/2008
37,A/Egypt/2321-NAMRU3/2007
38,A/Goose/Guangdong/1/1996
39,A/Egypt/4226-NAMRU3/2007
40,A/Egypt/2992-NAMRU3/2006
41,A/Duck/Vietnam/Ncvd-16/2007
42,A/Egypt/4822-NAMRU3/2009
43,A/Chicken/Vietnam/Ncvd-083/2008
44,A/Egypt/4082-NAMRU3/2007
45,A/Egypt/N02554/2010
46,A/Egypt/2782-NAMRU3/2006
47,A/HongKong/213/2003
48,A/Chicken/Vietnam/Ncvd-084/2008
49,A/MuscovyDuck/Vietnam/Ncvd-034/2008
50,A/Egypt/6251-NAMRU3/2007
51,A/Egypt/N02127/2010
52,A/Egypt/3450-NAMRU3/2009
53,A/Egypt/1980-NAMRU3/2008
54,A/Egypt/4979-NAMRU3/2009
55,A/Teal/HongKong/2978.1/2002
56,A/MuscovyDuck/Vietnam/Ncvd-154/2008
